"Round","Player_A","Player_B"
1,1,1
2,1,2
3,2,2
4,3,3
5,1,1
6,1,2
7,3,3
8,3,1
9,3,1
10,2,3
11,2,2
12,3,2
13,3,2
14,1,2
15,2,3
16,3,1
17,2,2
18,2,2
19,3,2
20,2,3
21,2,2
22,1,1
23,3,1
24,1,1
25,1,3
26,1,1
27,1,2
28,2,1
29,1,2
30,1,1
31,1,2
32,3,1
33,2,3
34,2,1
35,1,1
36,1,2
37,1,3
38,1,1
39,1,1
40,1,2
41,2,2
42,1,3
43,1,1
44,3,1
45,2,3
46,3,3
47,1,1
48,2,1
49,3,2
50,2,2
51,2,3
52,2,3
53,2,2
54,1,2
55,1,3
56,2,2
57,2,3
58,3,2
59,3,2
60,2,1
61,1,3
62,2,2
63,1,3
64,2,3
65,3,2
66,1,3
67,2,3
68,1,1
69,1,3
70,3,1
71,1,1
72,2,3
73,2,3
74,1,1
75,1,3
76,3,2
77,2,3
78,1,1
79,3,2
80,3,3
81,1,1
82,2,1
83,2,3
84,2,2
85,2,3
86,2,2
87,3,1
88,1,2
89,2,1
90,2,2
91,2,2
92,3,1
93,1,3
94,1,2
95,2,2
96,3,2
97,3,3
98,3,3
99,3,3
100,2,2
101,2,3
102,2,3
103,3,2
104,1,2
105,2,3
106,2,1
107,2,1
108,1,2
109,1,3
110,1,3
111,1,2
112,1,3
113,1,3
114,1,1
115,1,2
116,1,3
117,1,3
118,2,3
119,2,2
120,2,3
121,3,1
122,3,1
123,2,3
124,2,1
125,3,3
126,3,3
127,1,2
128,3,1
129,3,2
130,2,2
131,2,2
132,3,2
133,3,2
134,3,2
135,3,1
136,2,3
137,2,2
138,1,2
139,3,3
140,2,2
141,3,2
142,3,2
143,3,3
144,1,2
145,2,1
146,1,3
147,1,2
148,3,1
149,2,2
150,1,1
151,1,3
152,2,3
153,3,2
154,3,1
155,2,1
156,3,1
157,3,2
158,2,2
159,3,3
160,1,3
161,2,1
162,3,1
163,3,2
164,1,3
165,1,2
