"Round","Player_A","Player_B"
1,1,1
2,1,2
3,2,2
4,3,3
5,1,1
6,1,2
7,3,3
8,3,1
9,3,1
10,2,3
11,2,2
12,3,2
13,3,2
14,1,2
15,2,3
16,3,1
17,2,2
18,2,2
19,3,2
20,2,3
21,2,2
22,1,1
23,3,1
24,1,1
25,1,3
26,1,1
27,1,2
28,2,1
29,1,2
30,1,1
31,1,2
32,3,1
33,2,3
34,2,1
35,1,1
36,1,2
37,1,3
38,1,1
39,1,1
40,1,2
41,2,2
42,1,3
43,3,3
44,1,2
45,1,2
46,3,3
47,1,1
48,2,1
49,3,2
50,2,2
51,2,3
52,2,3
53,2,2
54,2,2
55,1,3
56,2,2
57,2,3
58,3,2
59,3,2
60,1,1
61,1,2
62,2,1
63,3,2
64,3,3
65,3,2
66,3,3
67,2,3
68,2,1
69,2,3
70,2,1
71,1,2
72,3,3
73,1,1
74,1,3
75,1,2
76,2,3
77,2,1
78,3,2
79,3,3
80,3,1
81,3,1
82,3,3
83,3,2
84,3,3
85,3,2
86,3,1
87,3,2
88,1,3
89,2,3
90,2,2
91,2,1
92,1,3
93,1,2
94,1,3
95,2,2
96,2,3
97,3,1
98,1,2
99,1,2
100,1,1
