"Round","Player_A","Player_B"
1,1,1
2,2,1
3,3,3
4,1,2
5,3,1
6,3,1
7,1,2
8,3,1
9,1,2
10,3,3
11,1,2
12,1,1
13,2,3
14,2,1
15,2,1
16,3,1
17,2,1
18,2,1
19,2,2
20,1,3
21,2,3
22,2,1
23,2,1
24,1,3
25,1,3
26,2,3
27,2,1
28,2,1
29,3,2
30,2,3
31,3,1
32,3,3
33,1,2
34,2,1
35,3,2
36,2,2
37,2,3
38,2,1
39,2,3
40,2,2
41,3,2
42,2,3
43,3,3
44,2,2
45,2,2
46,3,2
47,2,1
48,1,1
49,2,3
50,3,3
51,3,2
52,2,3
53,1,1
54,3,1
55,2,2
56,2,1
57,3,3
58,2,3
59,2,3
60,2,1
61,2,3
62,2,3
63,3,3
64,1,1
65,2,1
66,1,3
67,2,1
68,1,3
69,3,2
70,3,3
71,2,2
72,2,1
73,3,1
74,2,1
75,2,2
76,3,2
77,3,3
78,2,1
79,2,2
80,2,1
81,1,3
82,2,2
83,2,2
84,2,2
85,2,2
86,3,3
87,2,3
88,2,2
89,3,3
90,3,1
91,1,1
92,2,2
93,3,1
94,1,1
95,2,2
96,2,1
97,2,2
98,2,2
99,2,2
100,2,1
